gen,batch,idx,kind,kept,score,d_db,beam,eta,s11_worst,copper,peak_x,peak_y,npy,png
5,1,6,kid,0,7.572341,13.4502,0.6855,0.9923,-15.1710,138,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid006.png
5,1,7,kid,0,-15.437211,13.4289,0.6866,0.9626,-11.7926,19,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid007.png
5,1,8,kid,0,7.595835,13.4233,0.6869,0.9984,-23.3166,95,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid008.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid008.png
5,1,9,kid,0,7.574613,13.3998,0.6868,0.9936,-16.0721,86,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid009.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid009.png
5,1,10,kid,0,7.596040,13.3565,0.6865,0.9984,-21.9856,87,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid010.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid010.png
5,1,11,kid,0,7.596605,13.3446,0.6864,0.9986,-22.0299,85,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid011.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid011.png
5,1,12,kid,1,7.598564,13.3331,0.6865,0.9991,-25.5499,88,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid012.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid012.png
5,1,13,kid,0,7.593134,13.2816,0.6864,0.9979,-20.7051,93,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid013.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid013.png
5,1,14,kid,0,7.518846,13.2799,0.6864,0.9810,-13.9990,95,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid014.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid014.png
5,1,15,kid,0,7.588157,13.2310,0.6875,0.9973,-21.9224,89,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid015.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid015.png
5,1,16,kid,0,7.593016,13.1703,0.6880,0.9986,-22.8855,90,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid016.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid016.png
5,1,17,kid,0,7.595429,13.1680,0.6881,0.9992,-24.0193,88,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid017.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid017.png
6,1,1,kid,0,7.581606,13.1096,0.6881,0.9962,-19.8538,107,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid001.png
6,1,2,kid,0,7.333922,13.0298,0.6880,0.9403,-8.1031,136,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid002.png
6,1,3,kid,0,6.399501,13.0020,0.6878,0.7579,-5.1379,109,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid003.png
6,1,4,kid,0,6.994633,12.9962,0.6879,0.8693,-6.3561,81,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid004.png
